Name,Age,Gender,Location,Education Level,Occupation,Hobbies,Religious Beliefs,Preferred Age Range,Preferred Gender,Extroversion,Agreeableness,Conscientiousness,Neuroticism,Openness to Experience,Smoking Habits,Drinking Habits,Dietary Preferences,Fitness Level,Date of Birth,Zodiac Sign,Past Relationship Experience,Number of Relationships,Important Qualities,Deal Breakers,Relationship Goals,Salary
Edwin,28,M,Medinaside,High School,"Psychologist, sport and exercise",other;hear;help,Buddhist,29-48,M,4,5,7,10,6,Yes,No,Other,7,09/03/1977,Pisces,Yes,4,Intelligence;Intelligence,Disloyalty;Smoking,Long-term,96803
Laura,59,F,Lake Alicia,Bachelors,Insurance claims handler,want;father,Christian,21-47,M,7,7,5,1,1,Yes,No,Vegetarian,4,17/04/1973,Aries,No,0,Honesty;Humor,Disloyalty,Marriage,61551
Jill,49,M,Brownburgh,PhD,Acupuncturist,camera,Atheist,29-33,F,10,8,7,8,7,Yes,No,Vegetarian,4,30/03/2003,Aries,Yes,4,Kindness;Kindness,Disloyalty;Negativity,Marriage,146216
James,21,M,Liuland,High School,"Physicist, medical",run;always,Christian,27-34,F,4,3,1,7,3,No,Yes,Vegetarian,8,06/04/1976,Aries,Yes,4,Intelligence,Disloyalty;Disloyalty,Casual,41394
Linda,25,F,South Suzanne,High School,Fish farm manager,page;unit;production,Other,25-35,F,7,4,8,4,10,Yes,No,Vegetarian,5,14/09/1962,Virgo,Yes,4,Kindness;Intelligence;Intelligence,Disloyalty,Marriage,99092
Micheal,48,F,Lake Toddmouth,Bachelors,Company secretary,instead;area,Atheist,30-38,F,1,2,6,6,1,No,No,Non-Vegetarian,4,25/06/2005,Cancer,No,0,Kindness;Compatibility,Negativity;Smoking,Casual,33890
Patrick,34,M,Lynnberg,Masters,Banker,way;clearly;fire,Muslim,29-50,F,9,2,8,10,7,Yes,No,Vegetarian,7,06/09/1999,Virgo,Yes,2,Intelligence,Negativity,Marriage,71606
Rachel,32,M,Melissaside,Bachelors,Maintenance engineer,law;four;exactly,Muslim,23-37,M,2,10,7,4,7,Yes,Yes,Vegan,6,25/07/1996,Leo,Yes,4,Honesty;Kindness;Intelligence,Smoking,Casual,117313
Meghan,22,M,Martinchester,Bachelors,Garment/textile technologist,expect;its,Buddhist,22-45,M,2,9,1,5,1,No,Yes,Other,3,02/08/1973,Leo,No,0,Intelligence;Honesty,Disloyalty,Marriage,171699
Sarah,52,M,East Julieview,PhD,Video editor,field;then;available,Buddhist,30-50,M,3,2,1,10,5,Yes,No,Non-Vegetarian,5,07/09/2004,Virgo,No,0,Support,Negativity,Long-term,38792
Maria,40,F,Lake Jacobhaven,Bachelors,Community development worker,only,Buddhist,22-31,M,7,7,5,6,5,Yes,No,Vegetarian,6,05/09/1993,Virgo,Yes,5,Honesty,Negativity,Long-term,184969
Paul,28,M,Lake Aaronfurt,High School,Broadcast journalist,water,Buddhist,27-31,M,3,3,5,1,1,Yes,Yes,Vegan,5,02/03/1963,Pisces,Yes,0,Compatibility,Disloyalty;Disloyalty,Long-term,98148
Cindy,47,F,East Kristopher,Bachelors,Public relations officer,across;door;few,Christian,29-43,M,2,10,4,6,1,No,Yes,Vegetarian,2,14/06/2004,Gemini,No,0,Intelligence;Honesty;Compatibility,Negativity,Long-term,154243
Erin,18,M,New Eric,PhD,"Administrator, arts",yes;national;history,Jewish,26-32,F,5,7,9,8,9,Yes,Yes,Other,5,02/09/1962,Virgo,Yes,1,Support;Support;Compatibility,Negativity;Smoking,Casual,150174
Judy,51,F,Johnshire,High School,Hospital pharmacist,condition;generation,Christian,21-34,M,5,4,3,4,5,Yes,Yes,Non-Vegetarian,4,28/09/2005,Libra,Yes,2,Intelligence;Support,Disloyalty,Casual,184555
Michael,32,F,Lake Edward,Bachelors,Call centre manager,project,Christian,27-49,F,9,6,1,10,3,No,Yes,Non-Vegetarian,9,27/04/1964,Taurus,Yes,0,Support;Honesty,Smoking,Casual,154358
Paula,33,F,South Victoriafurt,Bachelors,"Conservation officer, nature",exist,Jewish,25-32,M,5,2,5,3,2,Yes,No,Other,8,03/12/1966,Sagittarius,No,0,Intelligence;Kindness,Disloyalty;Disloyalty,Long-term,78555
Heather,32,M,South Matthewstad,Masters,Make,as,Buddhist,25-35,F,1,2,4,2,1,No,Yes,Non-Vegetarian,1,30/07/1963,Leo,No,0,Honesty,Negativity;Negativity,Long-term,47159
Lisa,34,F,Riveraborough,Bachelors,"Investment banker, operational",theory,Christian,24-34,M,8,7,2,5,3,No,No,Vegan,7,17/02/1984,Aquarius,No,0,Support;Support;Intelligence,Smoking;Negativity,Marriage,140510
David,48,F,Savageville,Masters,Marine scientist,politics;any;arrive,Buddhist,21-32,M,10,3,1,10,6,Yes,Yes,Non-Vegetarian,4,09/07/1986,Cancer,No,0,Kindness;Support,Smoking;Smoking,Casual,136530
Veronica,24,F,South Michelle,PhD,"Civil engineer, consulting",bad;sister,Muslim,27-31,M,10,7,5,4,3,No,No,Other,1,03/04/1965,Aries,Yes,3,Kindness;Humor;Honesty,Negativity;Disloyalty,Long-term,110077
Kaitlyn,49,M,South Nancy,PhD,Industrial/product designer,state,Other,20-31,M,2,4,4,5,8,Yes,No,Other,2,28/03/1969,Aries,No,0,Honesty;Compatibility,Negativity;Disloyalty,Casual,65920
Timothy,53,F,Port Garymouth,Bachelors,Private music teacher,short;time,Muslim,23-31,F,4,5,6,4,7,Yes,No,Vegan,4,17/09/1972,Virgo,Yes,4,Support,Smoking;Negativity,Long-term,49457
Jeffrey,27,M,Hughesberg,Bachelors,"Therapist, horticultural",leader;say,Other,28-49,M,3,10,9,1,8,No,No,Vegetarian,4,12/11/1978,Scorpio,No,0,Kindness,Disloyalty;Negativity,Casual,108953
Jennifer,58,F,Lake Linda,High School,Careers information officer,worker,Buddhist,26-42,M,6,5,5,1,3,Yes,Yes,Vegan,5,05/03/1964,Pisces,Yes,0,Support;Kindness;Humor,Disloyalty,Long-term,82995
Sue,40,M,Johnsonfort,Bachelors,Building services engineer,artist;since,Jewish,29-42,F,2,4,4,6,9,No,Yes,Non-Vegetarian,8,29/04/1962,Taurus,Yes,0,Honesty;Honesty,Negativity;Smoking,Casual,39692
Joseph,32,F,Shelbyberg,PhD,"Geologist, engineering",foreign;hundred,Atheist,24-38,M,7,7,7,7,9,Yes,Yes,Non-Vegetarian,6,30/04/1962,Taurus,Yes,5,Intelligence,Negativity,Long-term,67065
Lisa,23,M,West Ronald,PhD,Holiday representative,other;seven;future,Atheist,25-46,M,10,8,7,3,1,No,No,Vegetarian,2,22/11/1966,Sagittarius,No,0,Intelligence;Kindness;Support,Disloyalty,Casual,129299
Stephen,25,M,North Hunterport,High School,Sports development officer,television;dark,Buddhist,24-42,M,4,9,5,8,2,Yes,No,Vegan,9,31/01/1988,Aquarius,Yes,2,Humor,Negativity;Disloyalty,Casual,193678
Jerry,60,F,Port Danielburgh,Masters,Waste management officer,your,Buddhist,29-46,M,3,5,3,10,7,Yes,Yes,Non-Vegetarian,7,28/11/1960,Sagittarius,No,0,Kindness;Compatibility;Honesty,Smoking,Casual,41534
Julie,31,F,South Allison,High School,"Surveyor, building control",report;several;begin,Atheist,30-45,F,2,9,4,4,8,No,Yes,Other,7,02/07/1996,Cancer,No,0,Kindness;Humor,Disloyalty;Negativity,Casual,70397
Timothy,48,F,West Nicholasside,PhD,"Teacher, English as a foreign language",back;speak;toward,Muslim,30-36,F,2,7,9,5,2,No,No,Vegan,4,18/08/2000,Leo,Yes,3,Compatibility;Humor;Honesty,Smoking,Long-term,121387
Robert,49,F,North Markton,Bachelors,Information officer,anything;mother;throw,Buddhist,23-38,F,6,7,1,2,1,Yes,Yes,Vegetarian,7,20/09/2005,Virgo,No,0,Compatibility;Kindness,Smoking,Marriage,31016
Julia,60,M,Port Bobbystad,High School,"Production assistant, television",close,Jewish,24-41,F,10,3,10,4,3,Yes,Yes,Non-Vegetarian,3,23/11/1994,Sagittarius,No,0,Honesty;Support,Smoking;Smoking,Long-term,85591
Debra,36,M,Joanport,Masters,"Accountant, chartered certified",loss,Other,27-31,F,9,2,6,7,1,No,Yes,Other,5,23/01/1978,Aquarius,Yes,2,Honesty;Compatibility;Intelligence,Negativity;Negativity,Casual,53247
Richard,43,M,Cobbtown,High School,Recruitment consultant,scene;rise;itself,Buddhist,20-37,F,8,4,1,1,8,Yes,Yes,Other,6,24/03/1962,Aries,No,0,Honesty;Compatibility,Disloyalty,Long-term,54300
Ellen,21,M,Jerryhaven,Bachelors,Chief Marketing Officer,policy,Buddhist,20-39,F,8,7,5,4,7,Yes,Yes,Other,9,01/11/2001,Scorpio,No,0,Humor;Support;Honesty,Smoking,Casual,112798
Rachel,51,F,South Sabrina,PhD,Best boy,send,Christian,26-50,F,10,1,7,4,1,No,No,Other,1,17/01/1986,Capricorn,No,0,Honesty,Negativity;Smoking,Casual,39268
Miguel,19,F,Michaelmouth,Masters,"Programmer, multimedia",sure,Jewish,24-33,M,1,6,5,6,1,No,Yes,Vegan,5,20/10/1961,Libra,Yes,4,Honesty,Smoking,Casual,116807
Tracy,30,M,West Nicolefurt,Bachelors,Occupational therapist,scientist;thus;science,Other,23-38,M,8,8,6,8,10,No,No,Non-Vegetarian,5,10/07/1964,Cancer,Yes,3,Kindness;Compatibility;Kindness,Negativity,Long-term,42185
Jennifer,18,F,Christopherhaven,PhD,Medical sales representative,truth,Hindu,24-32,F,3,6,5,1,7,No,No,Other,10,25/02/2002,Pisces,Yes,3,Intelligence;Humor;Humor,Negativity,Marriage,169643
Scott,24,F,Lake Nicoletown,Masters,Legal secretary,set;majority,Jewish,21-34,F,10,2,7,2,9,Yes,No,Non-Vegetarian,5,25/06/1984,Cancer,Yes,1,Intelligence,Negativity;Negativity,Marriage,68044
Laura,52,F,Bradleyborough,High School,"Runner, broadcasting/film/video",mean;both;question,Jewish,24-49,M,3,5,10,9,8,No,No,Non-Vegetarian,4,21/04/1990,Taurus,No,0,Humor;Support;Support,Smoking;Smoking,Casual,81214
Samantha,50,F,Hernandeztown,Bachelors,Planning and development surveyor,when,Jewish,23-35,F,6,4,5,8,9,No,No,Non-Vegetarian,2,09/02/1995,Aquarius,Yes,3,Humor;Support,Smoking,Casual,144752
Scott,55,F,Joseside,Masters,Set designer,leg,Atheist,24-36,M,4,10,10,5,8,No,Yes,Vegan,6,13/02/1966,Aquarius,Yes,3,Humor;Humor;Support,Negativity;Negativity,Marriage,78984
Mark,56,M,Simmonstown,PhD,"Engineer, water",spring;base,Jewish,30-47,M,6,5,3,1,1,Yes,Yes,Non-Vegetarian,5,18/05/1962,Taurus,Yes,3,Kindness,Negativity;Smoking,Long-term,70774
Brian,53,M,Jordanland,PhD,Prison officer,difference;foot;office,Other,23-35,F,5,3,8,9,10,Yes,No,Other,8,26/01/1974,Aquarius,Yes,4,Honesty,Disloyalty,Casual,32568
Karen,41,F,Robersonhaven,Masters,Operations geologist,others;development;after,Jewish,22-43,M,3,7,10,1,1,Yes,No,Non-Vegetarian,5,06/06/1978,Gemini,No,0,Honesty;Intelligence;Compatibility,Negativity,Casual,150151
Pamela,44,M,Ronaldton,PhD,Pensions consultant,Republican;individual,Hindu,23-49,M,5,7,6,6,4,Yes,Yes,Vegetarian,5,22/11/1966,Sagittarius,No,0,Compatibility;Kindness,Smoking;Smoking,Marriage,163767
Jessica,34,F,North Jesseville,Masters,"Research officer, political party",center,Christian,25-41,M,6,1,1,4,2,Yes,Yes,Other,2,12/12/1985,Sagittarius,No,0,Humor,Disloyalty,Marriage,154375
Bruce,51,F,Stephaniefort,High School,Call centre manager,lawyer;look,Jewish,22-49,M,9,7,4,1,7,Yes,No,Vegetarian,7,03/03/2003,Pisces,No,0,Honesty;Humor,Negativity;Negativity,Long-term,166330
James,49,F,Rasmussenland,Masters,Public relations account executive,several;series,Buddhist,23-41,M,7,1,2,1,8,Yes,No,Other,7,18/08/1974,Leo,No,0,Kindness;Compatibility,Smoking,Marriage,69504
Thomas,39,F,Grahamview,PhD,Water engineer,nothing;discover;better,Buddhist,24-36,M,5,10,10,3,1,No,Yes,Vegetarian,8,22/11/1972,Sagittarius,No,0,Humor;Humor;Compatibility,Negativity,Marriage,194231
Cody,37,F,Mooretown,Bachelors,Regulatory affairs officer,rule,Christian,22-48,M,7,7,5,8,8,No,No,Other,4,10/11/1986,Scorpio,Yes,4,Humor,Negativity,Long-term,43986
Leah,26,M,East Charlesfurt,High School,Arts administrator,better;international;first,Atheist,24-44,F,2,10,8,2,3,Yes,No,Vegetarian,7,27/03/1987,Aries,Yes,0,Honesty;Support;Honesty,Disloyalty,Casual,91858
Matthew,53,F,Port Allison,Masters,Market researcher,attention;hard;baby,Jewish,29-32,M,7,10,2,9,9,No,No,Non-Vegetarian,9,11/06/2000,Gemini,Yes,1,Intelligence;Intelligence;Support,Negativity,Long-term,159312
Timothy,54,F,Lopezmouth,Masters,Hydrogeologist,behind;less,Jewish,24-43,M,5,8,5,1,4,Yes,No,Vegetarian,6,22/07/1998,Cancer,No,0,Support;Humor;Kindness,Smoking,Long-term,42666
Shane,20,F,Stevenschester,PhD,Set designer,wife;everyone,Jewish,22-48,M,6,1,2,10,2,Yes,No,Other,3,19/02/1986,Pisces,Yes,0,Honesty;Support,Disloyalty;Smoking,Long-term,68660
Christopher,46,F,Christinashire,PhD,Fashion designer,side;third,Atheist,21-39,F,7,3,5,5,8,No,Yes,Other,5,23/04/1975,Taurus,Yes,2,Intelligence;Compatibility;Intelligence,Disloyalty,Long-term,164633
Michelle,23,F,East Barbara,Bachelors,"Surveyor, insurance",art;money;them,Hindu,27-47,F,3,9,10,6,6,Yes,Yes,Vegan,5,14/04/1963,Aries,Yes,0,Support;Kindness;Kindness,Smoking;Negativity,Marriage,56854
Breanna,52,M,North Marthaland,Masters,"Civil engineer, consulting",reflect;color,Muslim,28-33,M,4,7,3,10,9,No,Yes,Vegetarian,4,16/01/1969,Capricorn,No,0,Support;Compatibility,Smoking,Marriage,94505
Ann,41,F,West Michaelland,Bachelors,Purchasing manager,boy;degree;section,Jewish,24-50,M,9,10,4,6,6,No,Yes,Non-Vegetarian,4,27/02/1966,Pisces,Yes,5,Honesty;Honesty,Negativity;Disloyalty,Casual,134488
James,36,F,Rachelside,High School,Fitness centre manager,meet;quite;cost,Christian,21-34,F,4,2,3,1,2,No,Yes,Other,7,20/10/1993,Libra,No,0,Honesty;Support;Humor,Negativity,Casual,52662
Christopher,27,M,New Johnstad,Masters,"Designer, textile",society;conference;generation,Christian,26-46,F,10,7,8,3,4,No,Yes,Non-Vegetarian,4,13/10/1989,Libra,Yes,5,Honesty;Honesty;Intelligence,Disloyalty,Long-term,38392
Andrew,22,F,South Patricia,Masters,Product manager,PM;training,Hindu,23-37,F,1,1,10,3,8,Yes,Yes,Non-Vegetarian,6,28/11/1998,Sagittarius,Yes,2,Honesty;Support;Compatibility,Smoking;Disloyalty,Long-term,60535
Stephanie,34,M,North Sarah,Bachelors,Plant breeder/geneticist,letter;close;cut,Muslim,24-32,M,5,4,8,3,7,No,Yes,Vegan,3,15/12/1973,Sagittarius,No,0,Honesty;Intelligence,Negativity;Negativity,Marriage,143569
Linda,59,F,South Kennethstad,Bachelors,Ecologist,spend,Jewish,21-39,M,9,1,2,6,10,No,Yes,Vegan,7,21/05/1997,Gemini,No,0,Kindness;Intelligence;Compatibility,Disloyalty;Disloyalty,Marriage,82256
Margaret,53,F,East Laura,PhD,Public relations officer,rest,Other,21-31,M,8,8,7,9,1,Yes,Yes,Other,8,24/02/1974,Pisces,No,0,Compatibility;Kindness,Disloyalty;Smoking,Casual,119135
Jesus,60,F,Amandabury,Bachelors,Ophthalmologist,worker,Other,25-43,M,9,6,1,9,1,Yes,No,Other,10,07/05/1963,Taurus,Yes,2,Kindness;Compatibility,Smoking;Negativity,Casual,157478
Kari,41,M,New Claytonbury,Masters,Proofreader,cause,Hindu,20-47,F,6,4,1,8,9,No,Yes,Non-Vegetarian,1,17/09/1971,Virgo,No,0,Kindness,Smoking,Casual,65222
Robert,52,M,Bakerborough,Masters,Health promotion specialist,because;run,Atheist,21-32,F,2,9,5,2,6,No,No,Other,7,09/09/1971,Virgo,Yes,3,Kindness;Intelligence;Intelligence,Disloyalty;Disloyalty,Long-term,107373
Linda,47,F,Tinaland,PhD,"Designer, furniture",second;visit;life,Buddhist,22-48,M,7,3,5,2,1,Yes,Yes,Other,9,28/09/1963,Libra,Yes,1,Honesty,Smoking;Disloyalty,Long-term,153684
Angela,52,F,Smithville,PhD,Mental health nurse,the;physical;family,Muslim,29-38,F,7,5,8,10,4,Yes,Yes,Other,6,28/12/1966,Capricorn,No,0,Honesty;Kindness;Intelligence,Disloyalty;Disloyalty,Marriage,40965
Allen,28,M,Kellymouth,PhD,Manufacturing engineer,concern,Jewish,23-40,F,3,4,2,3,8,No,No,Other,3,24/08/1987,Virgo,Yes,2,Humor;Kindness,Disloyalty,Long-term,54538
Jessica,43,M,South Alyssa,PhD,Drilling engineer,provide;design;artist,Jewish,24-33,F,1,3,9,3,2,Yes,Yes,Other,3,30/10/1995,Scorpio,Yes,2,Kindness;Support;Compatibility,Smoking;Negativity,Long-term,138066
Garrett,24,F,South Douglas,PhD,Theatre director,opportunity;practice;option,Muslim,22-37,M,5,2,1,6,3,No,No,Non-Vegetarian,3,15/11/1990,Scorpio,Yes,3,Support;Intelligence,Disloyalty,Casual,143252
Julia,40,F,Adamtown,PhD,Art therapist,claim;often;cultural,Muslim,27-38,F,10,3,8,6,9,No,No,Vegan,6,10/12/1978,Sagittarius,No,0,Humor,Smoking;Negativity,Marriage,169182
Lisa,18,M,North Robin,Masters,"Civil engineer, consulting",part;home;rather,Hindu,23-34,F,9,7,2,7,7,No,No,Vegan,4,11/01/1967,Capricorn,Yes,3,Support;Intelligence;Compatibility,Negativity,Marriage,188338
Jessica,32,M,Carsonchester,PhD,Training and development officer,when,Other,22-46,M,7,4,1,10,8,Yes,Yes,Vegetarian,8,22/02/1976,Pisces,No,0,Kindness;Humor;Humor,Smoking;Smoking,Marriage,128806
Jeffrey,29,F,Richardport,Masters,Advertising account planner,why;Mrs;one,Hindu,20-35,F,9,5,1,3,7,Yes,Yes,Vegetarian,1,22/08/2000,Leo,Yes,3,Compatibility;Intelligence;Kindness,Disloyalty,Marriage,167982
Courtney,39,F,Danielfort,Masters,"Psychologist, forensic",movie;large,Buddhist,26-33,F,3,5,6,1,4,No,Yes,Vegetarian,9,11/01/1992,Capricorn,Yes,3,Kindness,Smoking;Negativity,Marriage,140989
Heather,30,M,Oliverchester,Bachelors,Community education officer,lose,Jewish,27-42,M,4,2,8,8,7,Yes,No,Vegan,2,20/12/2005,Sagittarius,No,0,Humor;Intelligence,Smoking,Marriage,120982
Joshua,18,F,New Gregory,Masters,Media planner,research;whether;operation,Christian,28-32,F,3,2,3,1,10,No,Yes,Other,9,17/01/1985,Capricorn,Yes,1,Intelligence;Humor;Honesty,Negativity,Long-term,151626
